id,parent,subcategory,name,keywords
1,Приобретение товара,,Трубы,"труб;металопродукц;профильна труба;металопрокат;валютно-обмінні;usd;ridsn;труба;труби;металлопродукцию;металлопродукцію"
2,Приобретение товара,,Лист,"лист;листовой;лист металу;гарячекат;листова сталь"
3,Приобретение товара,,Другое(Тернополь аренда и пр.),"тернополь;тернопіль;субаренда;оренда;суборенда;вагончик;оренда вагончика;помещен;офис;підприємств;експлуатація;експлуат;видатки;витрати;ремонт;робота;кран;відрядження;послуги оренди"
4,Приобретение товара,,Платежи по ЖД (станции),"жд;залізниця;станція;вагон;укрзалізниця;перевезення;перевозка;вантажівка;логістика;послуги залізниці"
5,Приобретение товара,,Доставка и оформление импорта,"використання транспорта;послуги перевезення;оформлення вмд;диспетчеризац;транспортно-експеди;розвантажувальні;контейнер;використання контейнера;зберігання;тариф організації;штраф;страхування;витрати експедитора;вмд;ктоdos;ktods;kto dоs;vtodos;vtod;вантаж;логістика;експед;митн;брокер;декларац;трансп.-експед;заїзд на термінал;організація автоперевезень;відшкодування витрат;автоперевезен;південтрансбудкомплект"
6,Продажа товара,,Затраты по продаже,"перевезення;виконання робiт;сертифiкацiя;друк;монтаж банера;страхування;оренда бiлборда;послуги страхування;вантаж;відшкодування;компенсація;розпломбування;пломбування;считування;експедиторське обслуговування;автоперевезення;повірка;технічний огляд;використання контейнера;ліцензійна плата;екологічний податок;податок на нерухоме майно"
7,Зарплата,,Офис,"зарплата;відпускні;офіс;швачкін;лікарняні;непрацездатності;премії;половина місяця;перша половина;друга половина;матеріальна допомога;нецільова допомога;січень;лютий;березень;квітень;травень;червень;липень;серпень;вересень;жовтень;листопад;грудень;пдфо;військовий збір;дивіденди;особистий рахунок;розрахунок при звільненні"
8,Зарплата,,База Новомосковск,"зарплата;новомосковськ;база"
9,Зарплата,,Цех,"зарплата;цех"
10,Зарплата,,Форпост (уч.5),"зарплата;форпост;уч.5;надання фiн. допомоги;фiн. допомога;надання фін. допомоги;фін. допомога;фд;благодійна допомога;дог. фд"
11,Зарплата,,База АНД,"зарплата;анд;база"
12,Зарплата,,Мат.Помощь,"матеріальна допомога;нецільова;разова;благодійна;непрацездатності;дивіденди;фін. допомога;надання фiн. допомоги"
13,Налоги,,Налог на прибыль предприятия,"податок на прибуток;прибутковий податок;півріччя;квартал"
14,Налоги,,НДС импортный,"митне оформлення;попередня оплата;мито;митний платiж;митна оплата;ндс імпорт;ввезення;митний ндс"
15,Налоги,,Пополнение НДС счета,"поповнення рахунку пдв;поповнення ндс;пдв поповнення;рахунок ндс;спецрахунок ндс;поповнення пдв по декларацiї"
16,Налоги,,Фонд ЗП и прочие,"екологічний податок;податок на нерухоме;ліцензії;фонд зп;єсв;утримання по постановi;вп №;при звільненні"
17,Банковское обслуживание,,Комиссии по ВЭД платежам,"комісія;вед;міжнародний переказ;валютно-обмінна;swift;ridsn;jbkln;usd;відкрита оферта"
18,Банковское обслуживание,,Прочее,"комісія;обслуговування рахунку;касове обслуговування;поповнення карток;оферта;тарифів банку;нецільові платежі;рко;ib sme;клієнт-банк;ibank 2 ua;krkrkrd;згідно з відкритою офертою"
19,Аренда земли,,Новомосковск база,"оренда землi;новомосковськ;база"
20,Аренда земли,,Форпост,"аренда землi;оренда землi;земля;форпост"
21,Аренда земли,,АНД база,"оренда землi;анд;база"
22,Коммунальные платежи,Электроснабжение,Офис,"електроенергія;офіс;активна;реактивна;адмінбудівля"
23,Коммунальные платежи,Электроснабжение,Новомосковск база,"електроенергiя;новомосковськ;база;перет. реакт. е/е;активна е/е;дистанц. зчитування;акт е/е;акт. е/е;перетоки"
24,Коммунальные платежи,Электроснабжение,Цех,"електроенергiя;цех;зчитування данних;розпломбування;перетоки реакт. е/е"
25,Коммунальные платежи,Электроснабжение,Форпост,"електроенергія;форпост;за е/енергiю;ел/е"
26,Коммунальные платежи,Электроснабжение,АНД база,"електроенергiя;анд;база"
