operation_date;purpose;amount
30.09.2025;"РАХ №790 ВIД 29.09.25  за  організацію автоперевезення. У сумi 47375.00 грн.; ПДВ - 20 % 9475.00 грн.";56850.00
29.09.2025;"РАХ №786 ВIД 26.09.25  за  організацію автоперевезення. У сумi 56250.00 грн.; ПДВ - 20 % 11250.00 грн.";67500.00
29.09.2025;"РАХ №788 ВIД 29.09.25  за  відшкодування витрат. У сумi 2654.80 грн.; ПДВ - 20 % 530.96 грн.";3185.76
29.09.2025;РАХ 371 ВIД 12.09.25 ЗА ТРАНСПОРТНО-ЕКСПЕД. ПОСЛУГИ. БЕЗ ПДВ.;152857.00
29.09.2025;РАХ №1238/2509 ВIД 25.09.25 ЗА ОФОРМЛЕННЯ ВМД. БЕЗ ПДВ.;7000.00
26.09.2025;Попередня оплата за митне оформлення. Без ПДВ.;790000.00
26.09.2025;101 ПДФО  з лiкарняних  за вересень 2025р.;89.59
26.09.2025;101 Вiйськовий збiр  з лiкарняних за вересень 2025р.;24.89
26.09.2025;101 ЄСВ 22%  з лікарняних за вересень 2025р.;109.49
25.09.2025;РАХ. № 911 ВIД 25.09.25 ЗА ЗАЇЗД НА ТЕРМIНАЛ. БЕЗ ПДВ.;1200.00
25.09.2025;"РАХ 914/0925/1 ВIД 20.09.25 ЗА ВОДОПОСТАЧАННЯ.  У сумi 366.00 грн.; ПДВ - 20 % 73.20 грн.";439.20
23.09.2025;Попередня оплата за митне оформлення. Без ПДВ.;185000.00
23.09.2025;РАХ №785 ВIД 22.09.25  за  компенсацію вартості.  У т.ч. ПДВ -  41933.92 грн.;458597.02
22.09.2025;РАХ №1234/1809 ВIД 18.09.25 ЗА ОФОРМЛЕННЯ ВМД. БЕЗ ПДВ.;71650.00
22.09.2025;101 оренда землi за   серпень 2025;68193.55
19.09.2025;РАХ №783 ВIД 18.09.25  за  відшкодування витрат.  У т.ч. ПДВ -   46.43 грн.;5582.67
19.09.2025;101 ПДФО  iз заробiтної плати першу половину  вересня 2025р.;559.62
19.09.2025;101 ПДФО iз заробiтної плати  за   першу половину  вересня 2025р;327.07
19.09.2025;101 ЄСВ 22%  iз заробiтної плати  за  першу половину    вересня 2025р.;4592.63
19.09.2025;101 Вiйськовий збiр iз заробiтної плати першу половину вересня 2025р.;1043.78
19.09.2025;101 ПДФО iз заробiтної плати за  першу половину  вересня 2025р.;2870.92
17.09.2025;101 податок на прибуток за  2024 р.;32000.00
17.09.2025;Попередня оплата за митне оформлення. Без ПДВ.;2995000.00
17.09.2025;РАХ №780 ВIД 17.09.25  за  відшкодування витрат.  У т.ч. ПДВ -  3379.63 грн.;20777.78
17.09.2025;"РАХ №779 ВIД 17.09.25  за  відшкодування витрат.  У сумi 17310.30 грн.; ПДВ - 20 % 3462.06 грн.";20772.36
17.09.2025;101 Вiйськовий збiр  з лікарняних за вересень 2025р.;74.66
17.09.2025;101 ПДФО  з лікарняних  за вересень 2025р.;268.76
17.09.2025;101 ЄСВ 22%  з лікарняних за вересень 2025р.;328.48
17.09.2025;РАХ №778 ВIД 16.09.25  за  відшкодування витрат. У  т.ч.ПДВ - 395.28 грн.;2375.28
12.09.2025;101 Вiйськовий збiр  з лікарняних за рах. підприємства за вересень 2025р.;62.21
12.09.2025;101 ПДФО  з лікарняних за рах. підприємства за вересень 2025р.;223.97
12.09.2025;101 ЄСВ 22%  з лікарняних за рах. підприємства за вересень 2025р.;273.74
10.09.2025;РАХ №773 ВIД 09.09.25  за  відшкодування витрат. У  т.ч.ПДВ - 19.35 грн.;2535.21
10.09.2025;"РАХ №772 ВIД 08.09.25  за  організація автоперевезення. У сумi 9375.00 грн.; ПДВ - 20 % 1875.00 грн.";11250.00
09.09.2025;"рах 777052118948/10/1/П1 від 09.09.25  за акт. е/е У сумi 14227.82 грн.; ПДВ - 20 % 2845.56 грн.";17073.38
08.09.2025;295378916663 ОПЛАТА ЗА ПОСЛУГИ РАХ 3321887361  ВIД 31.08.25.  У Т.Ч. ПДВ- 12.84 ГРН.;81.88
08.09.2025;РАХ №1226/0209 ВIД 02.09.25 ЗА ОФОРМЛЕННЯ ВМД. БЕЗ ПДВ.;9500.00
08.09.2025;РАХ №766 ВIД 05.09.25  за  відшкодування витрат. У т.ч.  ПДВ -  452.47грн.;59273.21
05.09.2025;"рах-факт СФ-17 від 05.09.25  за плиту. У сумi 5250.00 грн.; ПДВ - 20 % 1050.00 грн.";6300.00
05.09.2025;"РАХ №765 ВIД 04.09.25  за  відшкодування витрат. У сумi 18645.93 грн.; ПДВ - 20 % 3729.19 грн.";22375.12
05.09.2025;101 Вiйськовий збiр iз заробiтної плати за   другу половину серпня 2025р.;1195.34
05.09.2025;101 ПДФО iз заробiтної плати за  другу половину   серпня 2025р.;479.70
05.09.2025;101 ПДФО iз заробiтної плати за  другу половину   серпня 2025р.;3290.56
