operation_date;purpose;amount
30.09.2025;"0490; 786;29/09/25;01;ТОВ ""ПІВДЕНТРАНСБУДКОМПЛЕКТ"" Без ПДВ.";90.00
30.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;50000.00
30.09.2025;РАХ .№005017430  ВIД 26.09.25 ЗА ПЕРЕВЕЗЕННЯ.  У сумi 4325.00 грн.. ПДВ - 20 % 865.00 грн.;5190.00
30.09.2025;101 ПДФО   з лікарняних за рах. підприємства за вересень  2025р.;919.94
30.09.2025;101 вiйськовий збiр  з лікарняних за рахунок підприємства  за вересень 2025р.;557.75
30.09.2025;101 ПДФО  з лікарняних за рах. підприємства  за вересень 2025р.;1087.95
30.09.2025;101 ЄСВ 22%   з лікарняних  за рахунок підприємства за вересень 2025р.;2454.09
30.09.2025;дог 825174  вiд 15.09.03   о/р 825174 за послуги звязку у т.ч. ПДВ- 627.45 грн;4000.00
29.09.2025;Повернення грошових  коштів за невідвантажену металопродукцію  дог 287 від 01.10.20. У сумi 3687.75 грн.. ПДВ - 20 % 737.55 грн.;4425.30
29.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;50000.00
29.09.2025;рах  9290003 від 29.09.25 за затиск.У сумi 5040.00 грн.. ПДВ - 20 % 1008.00 грн.;6048.00
29.09.2025;0490. 786.29/09/25.01.ТОВ "ПІВДЕНТРАНСБУДКОМПЛЕКТ".Без ПДВ;10507.00
29.09.2025;Оплата згiдно  ДОГ. №23/07-ФД вiд 23.07.25 про надання  фiн. допомоги. Без ПДВ.;50000.00
29.09.2025;#4731219653624860 IПН 3697903841орендна плата за вересень25 Дог.1/05-25 від 30.04.2025;18061.89
29.09.2025;101 ПДФО18%  оренд. плата  за   вересень  25 Дог.1/05-25 від 30.04.2025;2111.13
29.09.2025;101 вiйськ.збiр  5% оренд.плата  за  вересень 25  Дог.1/05-25 від 30.04.2025;586.43
29.09.2025;101 ПДФО18%  оренд. плата  за  вересень  25 Дог.1/05-25 від 30.04.2025;2111.13
29.09.2025;101 вiйськ.збiр 5% оренд.плата  за    вересень 25 Дог.1/05-25 від 30.04.2025;586.43
29.09.2025;101 вiйськ.збiр 5% оренд.плата  за  вересень  25 дог 1/05-25 від 30.04.2025;1172.85
29.09.2025;101 ПДФО18%  орендна плата за    вересень 25 Дог.1/05-25 від 30.04.2025;4222.26
