unit_id;year_id;group_id;expense_invoices;sales;note
28;5;4;13;559486;
536;5;2;2;13872;
36;5;6;227;18408703.5;
45;5;2;2;9440;
58;5;5;55;7150949;
12360;5;1;1;6660;
82;5;3;4;39732;
11911;5;1;1;89490;
10196;5;3;10;2042900.66;
11616;5;1;1;3734.2;
113;5;1;1;17531;
12049;5;3;4;949019.3;
128;5;3;8;406539.5;
134;5;1;1;12380;
144;5;1;1;305648;
150;5;1;1;24570;
152;5;4;11;1072330;
154;5;4;11;1272780.5;
11279;5;4;14;1162106;
169;5;3;10;777022.5;
167;5;3;5;105270;
177;5;2;2;200055;
178;5;3;4;850423;
185;5;4;20;5178253;
9903;5;4;22;5056244;
11162;5;3;4;531504;
213;5;2;2;9500;
12196;5;1;1;16230;
226;5;2;3;58830.5;
249;5;3;5;228414;
252;5;3;6;610430;
254;5;3;6;236634;
265;5;3;5;73263;
276;5;1;1;14706;
288;5;4;18;1458027;
296;5;1;1;9420;
299;5;2;2;23163;
11909;5;4;35;501877.6;
337;5;4;20;268615;
10224;5;1;1;24920;
11388;5;1;1;46946;
10173;5;2;3;33563.5;
12373;5;1;1;25855;
395;5;2;2;337867;
10276;5;1;1;20445;
403;5;1;1;43788.4;
413;5;3;6;107083.5;
415;5;2;2;429834;
427;5;3;5;112440;
10057;5;1;1;31080;
12122;5;3;5;168526;
11643;5;1;1;60632;
12409;5;1;1;1929.5;
455;5;3;4;13309.6;
9888;5;4;25;4665819;
11196;5;4;17;679213;
10328;5;5;66;4208159.5;
493;5;2;2;42505;
496;5;2;2;47586;
10332;5;4;36;575076.6;
500;5;4;21;1698410.7;
10111;5;3;5;85131;
518;5;1;1;78500;
10121;5;1;1;8979;
530;5;6;228;6122673.4;
11331;5;4;11;177744.7;
558;5;1;1;115340;
559;5;2;2;24497;
11534;5;2;2;59824.4;
590;5;3;6;3460442.4;
12242;5;1;1;29250;
10376;5;3;7;1351731.5;
607;5;2;3;131491.5;
12417;5;1;1;9590;
621;5;5;51;1301187;
9708;5;3;5;77360;
632;5;2;3;465250;
641;5;2;2;435695;
658;5;3;9;4329526.4;
648;5;3;6;128056.5;
650;5;4;11;2039249.5;
653;5;2;3;199786;
660;5;4;18;9067362;
663;5;2;2;34849.5;
11246;5;4;38;2408528.7;
677;5;1;1;57558;
12235;5;1;1;151432;
10202;5;4;17;367944;
12024;5;3;7;43157;
721;5;2;3;1233293;
11837;5;2;2;138896;
11733;5;1;1;11299;
751;5;2;2;35510;
11348;5;2;2;133283.5;
10063;5;3;5;97367;
785;5;1;1;42144;
12019;5;1;1;1480;
11538;5;1;1;22128;
818;5;5;49;506485.5;
822;5;5;63;3370360;
11150;5;1;1;13059;
851;5;4;31;849127.4;
10384;5;1;1;315290;
917;5;4;12;49263.5;
9890;5;2;3;36922;
956;5;1;1;71698;
11531;5;3;4;23958.5;
10163;5;1;1;7180;
11392;5;2;2;109228;
12060;5;1;1;6990;
10078;5;4;16;4711598;
11986;5;1;1;585795;
11923;5;1;1;201650;
11760;5;2;2;61059;
981;5;1;1;328155;
1009;5;4;24;696973.5;
1016;5;4;26;3984550;
1021;5;3;6;122869;
1026;5;5;50;722242.6;
9786;5;3;8;154663;
12055;5;1;1;469494;
7473;5;4;11;358491;
11796;5;1;1;8872;
1116;5;2;2;235345.5;
10273;5;3;5;10471.7;
1143;5;3;6;443749;
1145;5;1;1;16980;
1153;5;1;1;20039;
1156;5;1;1;39480;
1160;5;5;46;1953878.5;
1161;5;5;51;1648000.1;
9975;5;3;10;242130.4;
1164;5;5;55;5908605.41;
11847;5;4;28;397059.4;
9843;5;2;3;132412.5;
1169;5;2;2;10819;
10251;5;1;1;111900;
1214;5;4;16;650119;
9750;5;1;1;33642.5;
1224;5;5;50;13019739.43;
10420;5;1;1;46412;
12037;5;1;1;58950;
11927;5;1;1;1510;
1240;5;2;3;439075;
11444;5;1;1;7049;
11509;5;4;18;175774;
1242;5;4;11;862637;
1282;5;4;17;427566;
1310;5;4;31;6748693.3;
1329;5;4;18;332481;
7756;5;2;3;32679;
1365;5;4;24;456350.5;
1370;5;1;1;66370;
11132;5;3;4;87836;
10161;5;2;3;610930;
11869;5;2;2;5366;
1405;5;3;5;7064.5;
10287;5;1;1;76842;
12033;5;1;1;8786;
11438;5;1;1;3180;
1463;5;1;1;9740;
11971;5;1;1;6736;
12351;5;1;1;11760;
10029;5;3;6;1495856;
1486;5;2;3;378340;
1360;5;3;6;119070.5;
11567;5;1;1;2712.5;
1516;5;3;5;56859.5;
11786;5;2;2;65080;
12286;5;1;1;35351;
11537;5;2;2;71005;
