client_activity_id;unit_id;year_id;group_id;expense_invoices;sales;note
1;000000028;1;2;2;28993;
2;000010444;1;5;77;"1557642,16";
3;000000034;1;4;34;3666982;
4;000000036;1;6;190;"24359539,5";
5;000000045;1;2;2;285045;
6;000000058;1;5;110;"16073217,98";
7;000000082;1;2;2;"19553,25";
8;000000084;1;3;5;"144448,1";
9;000000087;1;3;6;"75116,5";
10;000000101;1;1;1;10620;
11;000000123;1;1;1;5310;
12;000000128;1;3;8;849356;
13;000000134;1;3;6;140161;
14;000000140;1;2;2;"13292,4";
15;000000141;1;4;13;"1815572,5";
16;000000144;1;1;1;166700;
17;000000150;1;2;2;32670;
18;000000152;1;3;5;43515;
19;000000153;1;1;1;111265;
20;000000161;1;2;3;"394984,42";
21;000000167;1;3;9;"180966,5";
22;000000169;1;4;11;"376480,1";
23;000000176;1;1;1;13427;
24;000000177;1;3;10;807040;
25;000000178;1;3;5;551686;
26;000000180;1;3;7;"243037,5";
27;000000185;1;3;6;1839957;
28;000000202;1;2;2;"161320,3";
29;000000206;1;3;10;"184679,6";
30;000000213;1;2;3;107350;
31;000000226;1;3;4;70229;
32;000000248;1;3;5;286348;
33;000000249;1;4;14;"2990896,41";
34;000000252;1;4;18;"1571718,5";
35;000000254;1;4;21;"507304,3";
36;000000265;1;3;7;"210453,68";
37;000000276;1;3;10;"159734,5";
38;000000277;1;2;2;121440;
39;000000278;1;1;1;68385;
40;000000286;1;2;2;25030;
41;000000288;1;2;2;692267;
42;000000299;1;1;1;1325;
43;000000301;1;1;1;"825916,47";
44;000000307;1;2;2;"19007,86";
45;000000323;1;4;12;"1951573,49";
46;000000333;1;2;2;3664;
47;000000337;1;4;33;"441181,57";
48;000000340;1;1;1;3821;
49;000000357;1;2;2;15586;
50;000000362;1;1;1;10250;
51;000000364;1;1;1;14840;
52;000000370;1;4;20;"200908,3";
53;000000374;1;4;19;"4190523,58";
54;000000395;1;3;6;"912941,5";
55;000000400;1;1;1;5460;
56;000000403;1;2;2;397128;
57;000000404;1;1;1;29217;
58;000000408;1;2;2;"49997,5";
59;000000413;1;4;24;"1119117,45";
60;000000414;1;1;1;6220;
61;000000415;1;3;9;313500;
62;000000418;1;3;4;34635;
63;000000421;1;4;14;"567780,95";
64;000000423;1;3;7;22770;
65;000000447;1;1;1;1800;
66;000000449;1;3;8;61192;
67;000000451;1;1;1;627145;
68;000000452;1;2;2;"217364,99";
69;000000468;1;4;24;5273316;
70;000000476;1;3;6;"64372,5";
71;000000489;1;5;130;9795220;
72;000000490;1;4;23;"4167399,07";
73;000000493;1;4;11;"390832,1";
74;000000495;1;3;5;"253025,43";
75;000000496;1;3;7;"307948,6";
