client_activity_id;unit_id;year_id;group_id;expense_invoices;sales;note
1;28;1;2;2;28993;
2;10444;1;5;77;1557642.16;
3;34;1;4;34;3666982;
4;36;1;6;190;24359539.5;
5;45;1;2;2;285045;
6;58;1;5;110;16073217.98;
7;82;1;2;2;19553.25;
8;84;1;3;5;144448.1;
9;87;1;3;6;75116.5;
10;101;1;1;1;10620;
11;123;1;1;1;5310;
12;128;1;3;8;849356;
13;134;1;3;6;140161;
14;140;1;2;2;13292.4;
15;141;1;4;13;1815572.5;
16;144;1;1;1;166700;
17;150;1;2;2;32670;
18;152;1;3;5;43515;
19;153;1;1;1;111265;
20;161;1;2;3;394984.42;
21;167;1;3;9;180966.5;
22;169;1;4;11;376480.1;
23;176;1;1;1;13427;
24;177;1;3;10;807040;
25;178;1;3;5;551686;
26;180;1;3;7;243037.5;
27;185;1;3;6;1839957;
28;202;1;2;2;161320.3;
29;206;1;3;10;184679.6;
30;213;1;2;3;107350;
31;226;1;3;4;70229;
32;248;1;3;5;286348;
33;249;1;4;14;2990896.41;
34;252;1;4;18;1571718.5;
35;254;1;4;21;507304.3;
36;265;1;3;7;210453.68;
37;276;1;3;10;159734.5;
38;277;1;2;2;121440;
39;278;1;1;1;68385;
40;286;1;2;2;25030;
41;288;1;2;2;692267;
42;299;1;1;1;1325;
43;301;1;1;1;825916.47;
44;307;1;2;2;19007.86;
45;323;1;4;12;1951573.49;
46;333;1;2;2;3664;
47;337;1;4;33;441181.57;
48;340;1;1;1;3821;
49;357;1;2;2;15586;
50;362;1;1;1;10250;
51;364;1;1;1;14840;
52;370;1;4;20;200908.3;
53;374;1;4;19;4190523.58;
54;395;1;3;6;912941.5;
55;400;1;1;1;5460;
56;403;1;2;2;397128;
57;404;1;1;1;29217;
58;408;1;2;2;49997.5;
59;413;1;4;24;1119117.45;
60;414;1;1;1;6220;
61;415;1;3;9;313500;
62;418;1;3;4;34635;
63;421;1;4;14;567780.95;
64;423;1;3;7;22770;
65;447;1;1;1;1800;
66;449;1;3;8;61192;
67;451;1;1;1;627145;
68;452;1;2;2;217364.99;
69;468;1;4;24;5273316;
70;476;1;3;6;64372.5;
71;489;1;5;130;9795220;
72;490;1;4;23;4167399.07;
73;493;1;4;11;390832.1;
74;495;1;3;5;253025.43;
75;496;1;3;7;307948.6;
76;500;1;4;13;345335.51;
77;502;1;4;13;114760.99;
78;506;1;3;4;1565838.02;
79;508;1;2;2;121343;
80;518;1;3;6;219143;
81;519;1;2;3;37415;
82;530;1;4;36;378786.9;
83;531;1;1;1;22940;
84;546;1;4;20;335368.5;
85;559;1;3;5;479646.51;
86;570;1;3;4;349404;
87;579;1;1;1;27191;
88;590;1;2;3;105762;
89;600;1;5;43;522362.59;
90;603;1;2;2;5896;
91;607;1;1;1;52166;
92;616;1;2;2;181915;
93;620;1;4;20;884426.3;
94;621;1;4;13;901800.5;
95;622;1;3;5;57563;
96;624;1;2;2;29401.6;
97;613;1;1;1;2730;
98;628;1;3;4;38178;
99;629;1;1;1;8713.5;
100;631;1;1;1;62096.4;
101;632;1;1;1;49774;
