unit_id;year_id;group_id;expense_invoices;sales;note
28;5;3;8;502620.5;
536;5;2;2;13872;
36;5;6;182;14653494.7;
45;5;1;1;5240;
58;5;5;43;6379106.5;
82;5;2;3;34932;
11911;5;1;1;89490;
10196;5;3;9;1535612.66;
11616;5;1;1;3734.2;
113;5;1;1;17531;
12049;5;2;2;649909.3;
128;5;3;6;361140.5;
134;5;1;1;12380;
152;5;3;6;511969;
154;5;3;9;1069975.5;
11279;5;4;14;1162106;
169;5;3;8;683934.5;
167;5;2;3;82508.5;
177;5;2;2;200055;
178;5;2;3;634167;
185;5;4;16;3751355;
9903;5;4;19;4063160;
11162;5;3;4;531504;
213;5;1;1;5575;
12196;5;1;1;16230;
226;5;2;3;58830.5;
249;5;3;4;181024;
252;5;3;6;610430;
254;5;3;6;236634;
265;5;3;5;73263;
276;5;1;1;14706;
288;5;4;14;762992;
299;5;2;2;23163;
11909;5;4;20;290116.9;
337;5;4;19;252384.5;
10224;5;1;1;24920;
11388;5;1;1;46946;
10173;5;2;3;33563.5;
395;5;2;2;337867;
10276;5;1;1;20445;
403;5;1;1;43788.4;
428;5;4;28;2328442.27;
413;5;3;6;107083.5;
415;5;1;1;297915;
423;5;3;7;32340;
427;5;3;4;103680;
10057;5;1;1;31080;
12122;5;2;2;107789;
11643;5;1;1;60632;
455;5;3;4;13309.6;
9888;5;4;19;2559758;
11196;5;4;13;273478;
10328;5;5;47;2796079.1;
493;5;1;1;7185;
496;5;2;2;47586;
10332;5;4;26;509157.6;
500;5;4;17;1543516.2;
10111;5;3;5;85131;
518;5;1;1;78500;
10121;5;1;1;8979;
530;5;6;178;5032072.5;
11331;5;3;8;146973;
558;5;1;1;115340;
559;5;2;2;24497;
11534;5;2;2;59824.4;
590;5;3;6;3460442.4;
12242;5;1;1;29250;
10376;5;3;7;1351731.5;
607;5;2;2;92059.5;
621;5;5;43;1228558;
9708;5;3;4;57925;
632;5;2;3;465250;
641;5;1;1;268160;
658;5;3;8;3864037.4;
648;5;3;5;112152.5;
650;5;3;10;917898.5;
653;5;2;3;199786;
660;5;4;13;7589552;
663;5;2;2;34849.5;
11246;5;4;29;576913.8;
12235;5;1;1;151432;
10202;5;4;14;263288;
12024;5;3;4;28312;
721;5;2;3;1233293;
11837;5;2;2;138896;
11733;5;1;1;11299;
751;5;2;2;35510;
11348;5;2;2;133283.5;
10063;5;3;4;83767;
785;5;1;1;42144;
12019;5;1;1;1480;
11538;5;1;1;22128;
818;5;5;42;429592.5;
822;5;5;49;2324260.7;
11150;5;1;1;13059;
851;5;4;28;755201.9;
917;5;3;9;38298;
9890;5;2;3;36922;
956;5;1;1;71698;
11531;5;3;4;23958.5;
10163;5;1;1;7180;
11392;5;2;2;109228;
12060;5;1;1;6990;
10078;5;4;12;2874970;
11986;5;1;1;585795;
11923;5;1;1;201650;
11760;5;2;2;61059;
981;5;1;1;328155;
10383;5;1;1;604;
1009;5;4;20;296024;
1016;5;4;20;3435058;
1021;5;3;5;120607;
1026;5;4;36;533572.3;
9786;5;3;8;154663;
12055;5;1;1;469494;
7473;5;3;8;296446;
11796;5;1;1;8872;
10273;5;2;2;3785.7;
1143;5;2;3;441139;
1145;5;1;1;16980;
1156;5;1;1;39480;
1160;5;4;40;1483546;
1161;5;4;36;1287040.1;
9975;5;3;8;145581.4;
1164;5;5;42;3666778.05;
11847;5;4;21;283583;
9843;5;2;3;132412.5;
1169;5;1;1;2930;
10251;5;1;1;111900;
1211;5;3;7;44100;
1214;5;4;16;650119;
1224;5;5;41;10589612.93;
10420;5;1;1;46412;
12037;5;1;1;58950;
11927;5;1;1;1510;
1240;5;2;3;439075;
11444;5;1;1;7049;
11509;5;4;15;135957;
1242;5;3;10;176756;
1282;5;4;12;174080;
1310;5;4;20;5713834.3;
1329;5;4;12;240668;
7756;5;2;2;14919;
1365;5;4;24;456350.5;
1370;5;1;1;66370;
11132;5;3;4;87836;
10161;5;2;3;610930;
11869;5;2;2;5366;
1405;5;3;4;4597.5;
10287;5;1;1;76842;
12033;5;1;1;8786;
11438;5;1;1;3180;
1463;5;1;1;9740;
11971;5;1;1;6736;
10029;5;3;5;842744;
1486;5;2;3;378340;
1360;5;2;3;52080;
11567;5;1;1;2712.5;
1516;5;3;4;55609.5;
11786;5;2;2;65080;
12286;5;1;1;35351;
11537;5;2;2;71005;
1549;5;3;7;385497.5;
12128;5;2;3;103012;
10252;5;3;7;3365741.3;
9926;5;4;12;547133.7;
1676;5;3;5;51950;
1679;5;2;3;29311;
1680;5;1;1;2262;
10238;5;2;2;84639;
11432;5;2;3;327345;
1754;5;2;3;81630;
11171;5;4;25;310531.5;
1698;5;2;2;16729;
