unit_id;year_id;group_id;expense_invoices;sales;note
4501;5;5;153;31042303.5;
8166;5;5;68;24785183.8;
2692;5;5;48;21771842;
36;5;6;256;19930641.8;
1224;5;5;52;13076309.43;
11312;5;5;54;11873282;
6352;5;4;17;10551181;
4976;5;6;203;9947427.65;
660;5;4;19;9496449.5;
9047;5;5;137;9014033.6;
11282;5;6;243;8966375.6;
58;5;5;66;7973254.7;
5055;5;5;95;7968033.3;
1310;5;4;39;7406520.3;
9888;5;4;30;7217898;
4085;5;4;17;7097196.05;
9650;5;5;88;7078117;
8960;5;5;103;7049291.1;
1164;5;5;60;6946395.41;
6328;5;4;33;6926292.2;
8285;5;5;98;6832040.5;
5827;5;4;25;6820162;
7237;5;5;85;6605073;
530;5;6;245;6440653.9;
4500;5;4;18;6393203.4;
185;5;4;22;5852163;
3960;5;5;83;5817777.5;
7176;5;5;85;5693371.27;
9903;5;4;24;5670871;
7980;5;3;9;5532662.1;
10370;5;5;73;5494584;
8105;5;4;11;5332039;
10335;5;4;40;5083222;
3267;5;5;58;4937845.4;
5589;5;5;91;4747469.5;
10078;5;4;16;4711598;
2812;5;5;52;4702033.7;
10328;5;5;74;4359629.2;
7830;5;4;34;4357913;
658;5;3;9;4329526.4;
4471;5;5;63;4292818.5;
1016;5;4;28;4291700;
10039;5;5;72;4117840;
5504;5;4;26;4021555.7;
1863;5;4;29;3980446.5;
11973;5;4;30;3959286.5;
5122;5;5;78;3934828.4;
6455;5;5;42;3925054.04;
9330;5;4;32;3919932;
11389;5;4;12;3872682.9;
10200;5;4;20;3853228.5;
5517;5;3;6;3832462.5;
3717;5;4;18;3767903.5;
10108;5;4;13;3610623;
4820;5;5;51;3602678.9;
2146;5;5;45;3565162.6;
9798;5;5;115;3518762.4;
590;5;3;6;3460442.4;
11477;5;5;59;3385101.5;
822;5;5;64;3375586.5;
3998;5;4;33;3373939;
10154;5;5;67;3298069.9;
3816;5;4;13;3211443;
4574;5;4;20;3132381;
4658;5;5;58;3098020.5;
3940;5;5;60;2997390.7;
6157;5;4;14;2717121.5;
4066;5;4;37;2674635.7;
9448;5;3;5;2672392;
10376;5;3;8;2611688;
4694;5;4;30;2605189.1;
8188;5;4;17;2563933.6;
11246;5;5;45;2511367.2;
11591;5;5;81;2495998.6;
5438;5;4;25;2492847.2;
7219;5;4;31;2474031.8;
2200;5;3;9;2450054;
2237;5;4;18;2449782.1;
3826;5;5;83;2425378.8;
9979;5;4;35;2407900.5;
5164;5;5;49;2397235.5;
8670;5;4;21;2393735.5;
10249;5;2;3;2368742.4;
4558;5;3;4;2354963;
12056;5;3;5;2347703;
7131;5;4;29;2347671.2;
9914;5;2;2;2310575;
9948;5;3;5;2125292;
3917;5;5;52;2120339.2;
11386;5;5;42;2114443.5;
5476;5;2;2;2075455;
9987;5;4;18;2074971.5;
5554;5;5;48;2074241;
4837;5;2;3;2066171;
10196;5;3;10;2042900.66;
650;5;4;11;2039249.5;
11456;5;3;4;2023220;
1160;5;5;50;1967025;
7283;5;5;41;1961181.6;
10256;5;5;48;1946682;
10339;5;5;50;1929594.75;
7130;5;4;13;1927426.6;
2396;5;4;31;1919464.02;
9946;5;4;36;1918966.5;
4734;5;5;53;1891936;
10142;5;5;43;1872979.1;
2267;5;4;39;1867807.9;
7015;5;5;63;1859777.7;
5990;5;4;23;1855188.5;
9828;5;4;18;1843340.6;
7925;5;3;7;1825338.5;
500;5;4;24;1801354.7;
10003;5;3;10;1786424.8;
1161;5;5;54;1779072.6;
5189;5;3;10;1771949;
8305;5;4;18;1717575.5;
4775;5;5;44;1714679.9;
11458;5;3;7;1708751;
10105;5;5;42;1707257.6;
5448;5;3;5;1699020.5;
7004;5;4;13;1693872.5;
3979;5;5;57;1667467.34;
4421;5;4;18;1635803;
8206;5;4;15;1630118;
3365;5;4;18;1628579.5;
10415;5;4;11;1625272.5;
6951;5;5;59;1597325.2;
9656;5;5;65;1574761.8;
9985;5;4;35;1518209.1;
9973;5;3;9;1496567.8;
10029;5;3;6;1495856;
3174;5;3;9;1490649;
8940;5;1;1;1466570;
288;5;4;18;1458027;
2950;5;3;7;1433387.4;
2095;5;4;13;1426686;
5420;5;4;14;1420404;
11128;5;4;15;1414270.4;
9869;5;4;15;1406833.7;
11359;5;4;24;1379030.5;
4943;5;3;4;1356545;
8950;5;4;24;1343731.72;
621;5;5;56;1341138;
9490;5;4;19;1323001;
154;5;4;12;1318900.5;
152;5;4;13;1313596;
9994;5;3;6;1310394.5;
3048;5;2;2;1286871;
5558;5;4;15;1284071.5;
2426;5;5;46;1276583.8;
3230;5;5;66;1262445.8;
5711;5;4;35;1250645.2;
11723;5;4;15;1247970.5;
721;5;2;3;1233293;
3042;5;4;39;1210436.7;
7971;5;4;27;1180509.5;
11279;5;4;15;1164471;
9864;5;4;25;1161829.5;
6007;5;4;11;1155699;
3036;5;4;20;1084381.2;
4789;5;3;4;1082195;
3264;5;4;19;1073391;
10177;5;4;27;1061446.5;
5499;5;4;14;1035161;
9436;5;4;37;1010800.05;
11343;5;3;8;1005329;
3268;5;3;10;985071;
10072;5;4;40;981290.4;
9908;5;4;31;970784.5;
7320;5;4;12;963195;
2624;5;3;9;957350.5;
12049;5;3;4;949019.3;
